Model,Nmempast,Nmemfuture,specialorderpast,specialorderfuture
"ACCESS1-0",1,1   
"ACCESS1-3",1,1   
"bcc-csm1-1",1,1 
"bcc-csm1-1-m",1,1
"BNU-ESM",1,1     
"CanESM2",5,5     
"CCSM4",6,6
"CESM1-BGC",1,1   
"CESM1-CAM5",3,3
"CESM1-WACCM",1,1,"2,3,4","2,3,4"
"CMCC-CM",1,1
"CMCC-CMS",1,1    
"CNRM-CM5",5,5,"1,2,4,6,10","1,2,4,6,10"
"CSIRO-Mk3-6-0",10,10
"EC-EARTH",1,1,"8","8"
"FGOALS-g2",1,1
"FIO-ESM",3,3
"GFDL-CM3",1,1
"GFDL-ESM2G",1,1
"GFDL-ESM2M",1,1
"GISS-E2-H",2,2
"GISS-E2-R",2,2
"HadGEM2-AO",1,1
"HadGEM2-CC",3,3
"HadGEM2-ES",3,3
"inmcm4",1,1
"IPSL-CM5A-LR",4,4
"IPSL-CM5A-MR",1,1
"IPSL-CM5B-LR",1,1
"MIROC5",3,3
"MIROC-ESM",1,1
"MIROC-ESM-CHEM",1,1
"MPI-ESM-LR",3,3
"MPI-ESM-MR",1,1
"MRI-CGCM3",1,1
"NorESM1-M",1,1
"NorESM1-ME",1,1
